# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-13
---
'a'wei 阿魏
'bai'tai'hong'di'she 白苔红地舌
'bai'tai'hong'jian'she 白苔红尖舌
'bai'tai'huang'bian'she 白苔黄边舌
'bai'tai'huang'xin'she 白苔黄心舌
'bai'tai'jian'gen'ju'hei'she 白苔尖根俱黑舌
'bai'tai'jian'hui'gen'huang'she 白苔尖灰根黄舌
'bai'tai'ru'ji'fen'she 白苔如积粉舌
'bai'tai'shuang'hei'she 白苔双黑舌
'bai'tai'shuang'huang'she 白苔双黄舌
'bai'tai'shuang'hui'she 白苔双灰舌
'bai'tai'zao'lie'she 白苔燥裂舌
'bai'tai'zhong'hong'she 白苔中红舌
'bai'tai'zhong'huang'she 白苔中黄舌
'bai'tan 白檀
'bai'tao'shu 白桃树
'bai'tian'mi'mi 白甜蜜蜜
'bai'tiao'geng 白调羹
'bai'tong 白痛
'bai'tong'cao 白通草
'bai'tong'jia'zhu'dan'zhi'tang 白通加猪胆汁汤
'bai'tong'pi 白桐皮
'bai'tong'tang 白通汤
'bai'tong'ye 白桐叶
'bai'tou'cao 白头草
'bai'tou'chuang 白头疮
'bai'tou'gong 白头公
'bai'tou'weng 白头翁
'bai'tou'weng'cao 白头翁草
'bai'tou'weng'hua 白头翁花
'bai'tou'weng'jia'gan'cao'e'jiao'tang 白头翁加甘草阿胶汤
'bai'tou'weng'jing'ye 白头翁茎叶
'bai'tou'weng'tang 白头翁汤
'bai'tou'xu 白头须
'bai'tu 白秃
'bai'tu'chuang 白秃疮
'bai'tu'chuang'bing 白秃疮病
'bai'tu'gen 白兔根
'bai'tu'ling 白土苓
'bai'wan 白菀
'bai'wan'zi 白丸子
'bai'wei 白微
'bai'wei 白薇
'bai'wei'han 白为寒
'bai'wei'hua'tai'she 白微滑苔舌
'bai'wei'san 白薇散
'bai'wei'tang 白薇汤
'bai'wei'wan 白薇丸
'bai'wu 白雾
'bai'wu'yi 白芜荑
'bai'xian 白陷
'bai'xian'pi 白鲜皮
'bai'xian'pi'san 白鲜皮散
'bai'xian'pi'tang 白鲜皮汤
'bai'xian'yu'lin 白陷鱼鳞
'bai'xiang 白象
'bai'xie 白血
'bai'xie'feng 白屑风
'bai'xin'cao 百芯草
'bai'xuan'bi 白癣痹
'bai'xue 白雪
'bai'xue'chong'xin'zheng 败血冲心证
'bai'xue'gao 白雪糕
'bai'xue'hua 白雪花
'bai'xue'ru'bao'zheng 败血入胞证
'bai'yan 白眼
'bai'yan'bing 白眼病
'bai'yang'pi 白杨皮
'bai'yang'shen 白洋参
'bai'yang'shu'pi 白杨树皮
'bai'yang'tao 白羊桃
'bai'yao'gen 白药根
'bai'yao'jian 百药煎
'bai'yao'zhi 白药脂
'bai'yao'zi 白药子
'bai'ye'teng 白叶藤
'bai'yi 白翳
'bai'yi'huang'xin'nei'zhang 白翳黄心内障
'bai'yin 白淫
'bai'yin 白饮
'bai'yin'xing 白银杏
'bai'ying 白英
'bai'ying'tai'she 白硬苔舌
'bai'you'feng 白游风
'bai'you'gao 白油膏
'bai'yu 白礜
'bai'yu'gao 白玉膏
'bai'yu'hua'tan'wan 白玉化痰丸
'bai'yu'lan 白玉兰
'bai'yu'liang 白余粮
'bai'yu'wei 白鱼尾
'bai'yun'cao 白云草
'bai'yun'hua'gen 白云花根
'bai'yun'mu 白云母
'bai'yun'xiang 白云香
'bai'zao'yao 白皂药
'bai'zhan 白占
'bai'zhang 白障
'bai'zhen 白疹
'bai'zhen 白轸
'bai'zhen 白针
'bai'zhen'sao'yang 白疹瘙痒
'bai'zhi 白芷
'bai'zhi'hu'xin'san 白芷护心散
'bai'zhi'li 白滞痢
'bai'zhi'san 白芷散
'bai'zhi'sheng'ma'tang 白芷升麻汤
'bai'zhi'shi'gao'tang 白芷石膏汤
'bai'zhi'wan 白芷丸
'bai'zhong'she 白肿舌
'bai'zhou'qing'mang'zheng 白昼青盲证
'bai'zhu 白术
'bai'zhu 白珠
'bai'zhu'an'wei'san 白术安胃散
'bai'zhu'fu'zi'tang 白术附子汤
'bai'zhu'he'zhong'tang 白术和中汤
'bai'zhu'huang'qin'tang 白术黄芩汤
'bai'zhu'ju'qing 白珠俱青
'bai'zhu'san 白术散
'bai'zhu'shao'yao'san 白术芍药散
'bai'zhu'shao'yao'tang 白术芍药汤
'bai'zhu'tang 白术汤
'bai'zhu'wan 白术丸
'bai'zhu'yi'ren'tang 白术苡仁汤
'bai'zhu'yin 白术饮
'bai'zhuo 白浊
'bai'zi'cao 白紫草
'bai'zi'ren 柏子仁
'bai'zi'yang'xin'wan 柏子养心丸
'ban'bian'feng'yao 半边风药
'ban'bian'hua 半边花
'ban'bian'jue 半边蕨
'ban'bian'lian 半边莲
'ban'bian'qi 半边旗
'ban'bian'san 半边伞
'ban'bian'shu 半边梳
'ban'bian'tou'feng 半边头风
'ban'biao'ban'li 半表半里
'ban'biao'ban'li're'bu'de'wo 半表半里热不得卧
'ban'biao'ban'li'zheng 半表半里证
'ban'chan 半产
'ban'chan'bao'yi'bu'xia 半产胞衣不下
'ban'chan'e'lu'bu'xia 半产恶露不下
'ban'chan'fu'tong 半产腹痛
'ban'chan'xia'xue'bu'zhi 半产下血不止
'ban'ci 半刺
'ban'feng'he 半枫荷
'ban'gua'wan 半栝丸
'ban'han'chun 半含春
'ban'hen 瘢痕
'ban'huang'wan 半黄丸
'ban'jia'niu 半架牛
'ban'lan'gen 板兰根
'ban'lan'gen 板蓝根
'ban'li'ke 板栗壳
'ban'ling'wan 半苓丸
